Model,Train Accuracy,Test Accuracy,ROC AUC
Default Decision Tree,0.9978700745473909,0.7345635202271115,0.6630770621819215
Controlled Decision Tree,0.8003194888178914,0.7955997161107168,0.8353044511612285
Gini Tree,,0.7955997161107168,0.8353044511612285
Entropy Tree,,0.794889992902768,0.8339791779689477
